iter	Passed	Remaining
1319	3956	5035
1320	3959	5032
1321	3962	5029
1322	3965	5026
1323	3968	5023
1324	3971	5020
1325	3974	5017
1326	3977	5014
1327	3980	5011
1328	3982	5007
1329	3985	5004
1330	3988	5001
1331	3991	4998
1332	3994	4995
1333	3997	4992
1334	4000	4989
1335	4003	4986
1336	4006	4983
1337	4009	4980
1338	4012	4977
1339	4015	4974
1340	4018	4970
1341	4021	4967
1342	4024	4964
1343	4026	4961
1344	4029	4958
1345	4032	4955
1346	4035	4951
1347	4038	4949
1348	4041	4945
1349	4043	4942
1350	4046	4939
1351	4049	4936
1352	4052	4933
1353	4055	4930
1354	4058	4927
1355	4061	4924
1356	4064	4921
1357	4067	4918
1358	4070	4915
1359	4073	4912
1360	4076	4908
1361	4079	4905
1362	4082	4902
1363	4085	4899
1364	4088	4896
1365	4091	4893
1366	4094	4890
1367	4096	4887
1368	4099	4884
1369	4102	4881
1370	4105	4878
1371	4108	4875
1372	4111	4872
1373	4114	4869
1374	4117	4866
1375	4120	4863
1376	4123	4860
1377	4126	4856
1378	4129	4854
1379	4132	4850
1380	4135	4847
1381	4138	4844
1382	4141	4841
1383	4144	4838
1384	4147	4835
1385	4149	4832
1386	4152	4829
1387	4155	4826
1388	4158	4823
1389	4161	4820
1390	4164	4817
1391	4167	4814
1392	4170	4811
1393	4173	4807
1394	4176	4804
1395	4178	4801
1396	4181	4798
1397	4184	4795
1398	4187	4792
1399	4190	4789
1400	4193	4786
1401	4196	4783
1402	4199	4780
1403	4202	4777
1404	4205	4774
1405	4208	4770
1406	4211	4767
1407	4214	4764
1408	4217	4761
1409	4220	4758
1410	4222	4755
1411	4225	4752
1412	4228	4749
1413	4231	4746
1414	4234	4743
1415	4237	4740
1416	4240	4737
1417	4243	4733
1418	4246	4730
1419	4249	4727
1420	4251	4724
1421	4254	4721
1422	4257	4718
1423	4260	4715
1424	4263	4712
1425	4266	4709
1426	4269	4705
1427	4272	4702
1428	4275	4700
1429	4278	4697
1430	4281	4693
1431	4283	4690
1432	4286	4687
1433	4289	4684
1434	4292	4681
1435	4295	4678
1436	4298	4675
1437	4300	4671
1438	4304	4669
1439	4307	4666
1440	4310	4663
1441	4313	4660
1442	4315	4656
1443	4318	4653
1444	4322	4651
1445	4324	4647
1446	4327	4644
1447	4330	4641
1448	4333	4638
1449	4336	4635
1450	4339	4632
1451	4342	4629
1452	4345	4626
1453	4348	4623
1454	4351	4620
1455	4354	4617
1456	4357	4614
1457	4359	4611
1458	4362	4608
1459	4366	4605
1460	4369	4602
1461	4372	4599
1462	4375	4596
1463	4378	4593
1464	4381	4590
1465	4383	4587
1466	4386	4584
1467	4389	4581
1468	4392	4578
1469	4395	4575
1470	4398	4572
1471	4401	4568
1472	4404	4565
1473	4407	4563
1474	4410	4559
1475	4413	4556
1476	4415	4553
1477	4418	4550
1478	4421	4547
1479	4424	4544
1480	4427	4540
1481	4430	4537
1482	4433	4534
1483	4435	4531
1484	4438	4528
1485	4441	4525
1486	4444	4522
1487	4447	4519
1488	4451	4517
1489	4455	4514
1490	4458	4512
1491	4461	4509
1492	4465	4506
1493	4468	4504
1494	4471	4501
1495	4474	4498
1496	4477	4495
1497	4480	4492
1498	4484	4490
1499	4487	4487
1500	4490	4484
1501	4493	4481
1502	4496	4478
1503	4499	4475
1504	4502	4472
1505	4505	4469
1506	4508	4466
1507	4511	4463
1508	4514	4460
1509	4517	4457
1510	4520	4454
